"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"hspd1",209.815203421123,8,0,0,0.563747050790482
"sox11a",209.443284281519,8,0,0,0.924777894854261
"lhfpl6",209.244921794329,8,0,0,1.21741078557444
"si:ch211-113a14.19.2",208.439725520057,8,0,0,1.65183013513328
"zgc:173552.3",208.137247558281,8,0,0,1.88145724640609
"dll4",207.775640248543,8,0,0,1.28792816023376
"adarb1b",207.742116564473,8,0,0,0.710020216509459
"ncapd2",207.542166099564,8,0,0,1.09963980488701
"adka",207.000276668851,8,0,0,0.654325545605678
"lig1",205.926629977741,8,0,0,0.575003467875866
"nhsl1b",204.573872938353,8,0,0,0.93448072813935
"si:ch211-119e14.1",203.618464960101,8,0,0,2.70173742891209
"dlgap5",203.522428289891,8,0,0,1.60206348433655
"flt1",203.377856409651,8,0,0,3.06324297233293
"frem2a",203.273551253023,8,0,0,3.42566572551256
"nkd2a",201.84665245739,8,0,0,0.66696689467056
"si:ch211-113a14.12",201.593850278353,8,0,0,1.50576942121593
"peak1",199.913323769539,8,0,0,0.856898788517036
"hirip3",199.295042399564,8,0,0,0.665326191299724
"ccna2",199.164475525375,8,0,0,1.55031050019012
"rbms3",198.968763351272,8,0,0,0.338722547454544
"zgc:110540",198.966546341083,8,0,0,1.30802489855309
"hspe1",198.616559352778,8,0,0,0.512066683428225
"tpx2",198.561284618605,8,0,0,1.59567116968913
"cenpf",197.402329980071,8,0,0,1.63508251011315
"fam110b",197.166261348075,8,0,0,1.22163028319116
"rrm2.1",196.219846687261,8,0,0,1.30547673507145
"arhgap27",195.74677429794,8,0,0,5.34710090609895
"plk1",194.387578959391,8,0,0,1.4548792163784
"smap1",193.80574545658,8,0,0,0.426252813734177
"npl",193.501211474437,8,0,0,0.807558858128198
"mcm6",192.706422537512,8,0,0,0.596699272235614
"si:ch211-288g17.3",192.454610769899,8,0,0,0.530139979285806
"bcl6b",191.840959272602,8,0,0,0.741910392881451
"prim2",191.784868284794,8,0,0,0.688494876647351
"etf1b",191.084785944977,8,0,0,0.493054376460716
"mical2a",190.570020909415,8,0,0,0.491219847564915
"mprip",189.433180223032,8,0,0,0.391496531850802
"diaph2",189.045915389067,8,0,0,0.443454949453971
"dek",189.018816165446,8,0,0,0.682438335821248
"DOCK9",188.85546502408,8,0,0,0.875150747718408
"tiam1a",188.515337599802,8,0,0,1.12263801875911
"srrt",188.010291868084,8,0,0,0.753334804192389
"lrrc15",187.870115493248,8,0,0,3.24821134916632
"dhrs3b",187.444970969908,8,0,0,3.24306676279409
"cebpd",187.205446840138,8,0,0,2.34842012954239
"ppp1r14aa",187.16815654287,8,0,0,3.7334765176458
"slbp",187.034540055816,8,0,0,0.975150803620211
"ace",186.591610258643,8,0,0,3.25565139972281
"abce1",186.196593635943,8,0,0,0.671272303564453
"enpp1",185.729710280083,8,0,0,0.552105661421929
"rrm2",185.366227166476,8,0,0,1.06038004396108
"dhfr",185.293076964246,8,0,0,1.14285247953787
"postna",184.170849689948,8,0,0,3.68108277915761
"cks1b",183.252421520379,8,0,0,0.934923470822967
"gdpd5b",182.906141448321,8,0,0,0.568296067784993
"aspm",182.365040946928,8,0,0,1.48840591338636
"atad2",182.285654734723,8,0,0,0.892348484794525
"si:ch211-113a14.18",182.282948563488,8,0,0,1.65174562644953
"ccdc80l2",181.702461097209,8,0,0,2.54700237437053
"sh3gl3a",181.306020951815,8,0,0,1.1336399534726
"tuba1b",180.786587124343,8,0,0,0.987210755988558
"jupb",180.627866105018,8,0,0,0.625039834142703
"mybbp1a",180.464992491509,8,0,0,0.827045630960749
"kif26ab",179.784740752714,8,0,0,2.30132943232667
"si:ch211-227m13.1",179.009908216572,8,0,0,2.33330492347171
