"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"pdzrn3b",70.6003799427293,8,3.73168163037008e-12,2.23621371108319e-11,0.734123803398119
"ccnb3",70.4844131111752,8,3.93551857769125e-12,2.34956332996493e-11,2.10986896869073
"CABZ01005379.1",70.4159897722468,8,4.0609737794739e-12,2.41544908816291e-11,0.817862717364774
"cyp1a",70.3686481305232,8,4.1501246883513e-12,2.45933314865262e-11,1.21186802057715
"gnai2a",70.2516457651484,8,4.37894165372654e-12,2.58535300589021e-11,0.430474255914473
"cita",70.2362539403903,8,4.40991687611358e-12,2.59406875065505e-11,1.06263688511959
"cxcl12a",70.1439201949505,8,4.60065319174419e-12,2.69635351897095e-11,1.25350273918561
"ssb",69.9249706248542,8,5.08637576501769e-12,2.97014643212712e-11,0.980656429474605
"spsb4a",69.9123063378309,8,5.11601871977518e-12,2.97659270968738e-11,0.453899256072532
"dhfr",69.8860537773462,8,5.17796916454927e-12,3.00172125481117e-11,0.592598117120955
"ccnf",69.8381342230394,8,5.29287724759797e-12,3.05725761594107e-11,1.24255372877893
"tcima",69.319011811746,8,6.71407374142063e-12,3.86421510297590e-11,0.826254040873426
"fbxo5",69.2861027092923,8,6.81599221508122e-12,3.90881273983153e-11,1.79792994360308
"plvapb",68.4717864349773,8,9.89497372927417e-12,5.65427070244238e-11,0.839665892847889
"nhsl2",68.4146321130631,8,1.01570973853882e-11,5.78340064648437e-11,0.396307674265207
"ctdspla",68.0955819446281,8,1.17528209386819e-11,6.66826719925215e-11,0.931437144957632
"kdrl",67.9212996072319,8,1.27277077766053e-11,7.19587718818672e-11,0.456209453046776
"cthrc1a",67.7247351611492,8,1.39241951302438e-11,7.84461697478523e-11,1.39156239422627
"hist1h2a11.2",67.5926887540059,8,1.47903911340563e-11,8.30337747876847e-11,1.19183835063867
"nfia",67.5793478561994,8,1.48807632882608e-11,8.32490253888717e-11,0.788988042489136
"podxl",66.4360923316659,8,2.50802711931897e-11,1.3982032720942e-10,1.25494614720146
"aplnra",66.0837584398936,8,2.94528845756759e-11,1.63627136531533e-10,1.31807959117463
"hapln3",66.0421811521183,8,3.00166558275805e-11,1.66182177592141e-10,0.857923932300654
"si:ch73-36p18.1",65.7117597926949,8,3.48964190877155e-11,1.91964352012617e-10,1.08517300309671
"si:ch211-126c2.4",65.7106901302026,8,3.49135165222947e-11,1.91964352012617e-10,0.946735809794469
"pmp22b",65.2588017916178,8,4.28953539355348e-11,2.35043035263204e-10,1.00370151375651
"coro2bb",65.1309954001748,8,4.54662973936593e-11,2.48280122286194e-10,2.04579904555037
"rrm2",65.0888333267594,8,4.63477034529092e-11,2.51401460854279e-10,1.31928796622672
"piezo1",65.0886244601068,8,4.63521443450077e-11,2.51401460854279e-10,0.760786493411932
"mtf2",64.9313926662171,8,4.97920593645063e-11,2.69146266835169e-10,0.778806038072036
"ccdc136b",64.6647736846547,8,5.62166979634071e-11,3.02850898119365e-10,0.502716823328655
"atxn1a",64.5616347053422,8,5.89179816046226e-11,3.1633815626643e-10,0.509827298416948
"cks2",64.4253539798301,8,6.26867446840151e-11,3.35447463192054e-10,2.13973650115966
"prox3",64.3556500384969,8,6.47062403658083e-11,3.45099948617644e-10,0.560206252530951
"flrt2",63.9269732732108,8,7.86328779867063e-11,4.17982075676844e-10,0.90018397252085
"xirp2a",63.6940487968457,8,8.74138539330716e-11,4.63119755936803e-10,0.397829862236922
"tiam1b",63.3506886314573,8,1.02170494287179e-10,5.39514161252432e-10,1.45826964317307
"hist1h2a1",62.8716237723311,8,1.26994637028588e-10,6.66299219805386e-10,0.967927849264788
"myca",62.8713013131736,8,1.27013288775402e-10,6.66299219805386e-10,0.846954882088992
"rgs3b",62.5091943877527,8,1.49692813700142e-10,7.82707522615121e-10,0.572451716178059
"kntc1",61.9782795554417,8,1.90432780655669e-10,9.92483547391111e-10,1.12092680017608
"mxd3",61.6535553465799,8,2.20616747093061e-10,1.14606102386006e-09,0.471360280835085
"atad2",61.6141282298491,8,2.24592011655034e-10,1.16293598267979e-09,0.931605237838258
"hist1h4l.21",61.5039546442901,8,2.36082819959904e-10,1.2184919739866e-09,1.59283609281651
"hist1h4l.15",61.2994600392067,8,2.58985943801804e-10,1.33240356939835e-09,1.60843205219615
"aopep",61.0895243189045,8,2.84802514904925e-10,1.46052571746115e-09,1.23063944604091
"hells",60.6185507389771,8,3.52429307959312e-10,1.80155556784313e-09,0.531274258656898
"srrt",60.5985140662529,8,3.55636964322059e-10,1.81216287552642e-09,0.409556927647149
"col18a1b",60.4892960823638,8,3.73639563733263e-10,1.89785175229594e-09,2.05071643212233
"hist1h2a3.1",60.4058849606529,8,3.87997411976926e-10,1.96454385811102e-09,2.39679072891866
"loxl1",60.2340100475955,8,4.19339007962094e-10,2.1165375796194e-09,2.56717447409482
"dspb",59.7482080952616,8,5.22236698330403e-10,2.62760602933536e-09,1.44641420399365
"hist1h2a5",59.3750077998486,8,6.1805283113614e-10,3.09995150413111e-09,1.44816860029513
"zfp36l1b",59.3087190039487,8,6.36817709676052e-10,3.18408854838026e-09,0.32909280341568
"gulp1b",59.1729773636487,8,6.77032541140932e-10,3.37461702749374e-09,1.11072079423618
"ccnd2a",58.9403324696343,8,7.51924633668466e-10,3.73627147164455e-09,0.537751497664155
"caskin1",58.8918106496779,8,7.68555441510443e-10,3.80708577837991e-09,0.981833019529145
"asf1ba",58.6319575433829,8,8.64056493021792e-10,4.26694564455206e-09,1.30505098724806
"vipr2",58.5897350810249,8,8.80653439061518e-10,4.33552462307209e-09,2.04953360694929
"bub1bb",58.4967517720392,8,9.18331743982037e-10,4.50714966371552e-09,0.795601441698019
"klf2a",58.3330255010986,8,9.88620074693358e-10,4.83728476914181e-09,0.551578892905259
"FQ312024.1",58.0564106558695,8,1.11975240191242e-09,5.46220683859718e-09,3.45675280539693
"prmt1",58.0045548767359,8,1.14619747026978e-09,5.5742126213728e-09,0.573414619486987
"si:dkey-246i14.3",57.6756195330792,8,1.32905042526943e-09,6.44388084979117e-09,0.506710483524083
"kif2c",57.6276842589792,8,1.35801925260637e-09,6.54530726806745e-09,0.839458269788327
"arhgef39",57.6274682802144,8,1.358151258124e-09,6.54530726806745e-09,0.961668499627203
"hist1h2a11.4",57.6119879775986,8,1.36764100044928e-09,6.57124805020676e-09,1.1428617366959
"ednraa",57.5621258240736,8,1.39865896642277e-09,6.7001627134025e-09,0.458397533869469
"CABZ01029422.1",57.5360236883073,8,1.4151747551594e-09,6.74333763431686e-09,1.15322928871134
"iqsec1b",57.5345690483289,8,1.41610090320654e-09,6.74333763431686e-09,0.731066336009815
"zgc:110540",57.1614713439947,8,1.674710481403e-09,7.95114768618633e-09,1.37161927120397
"hirip3",57.1466684895772,8,1.68588853988183e-09,7.98053746689624e-09,0.742094736182854
"tlx1",57.0981741423743,8,1.72303116219297e-09,8.13230047052728e-09,48.6803640382517
"aif1l",56.9609902026435,8,1.83257398145287e-09,8.6238775597782e-09,0.536335700149633
"rgs5b",56.9420143833142,8,1.84826265403615e-09,8.67220013623999e-09,0.993473108157827
"exoc3l2a",56.7717673589163,8,1.99513672249907e-09,9.33397297075588e-09,2.22212778569642
"sox7",56.7452308880513,8,2.01905414609627e-09,9.40968181925766e-09,0.514617823708296
"tll1",56.7407932934675,8,2.0230815911404e-09,9.40968181925766e-09,0.482516937551602
"si:ch1073-153i20.5",56.5553746028178,8,2.19870666118283e-09,1.01969004576595e-08,2.04909587115704
"zgc:173587",56.4789254562549,8,2.27546403941403e-09,1.05223770608741e-08,0.871058318898665
"ipo11",56.3678257993814,8,2.39179165362202e-09,1.10284341377384e-08,0.508327917111604
