"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00223892555990443,0.219576132606769,0.166,0.12,1,"LEC","trip12"
0.00225118984447918,-0.575393097823808,0.25,0.285,1,"LEC","man1a1"
0.00225145101706872,0.816450829024072,0.027,0.013,1,"LEC","npdc1a"
0.00227253292172229,0.596333251904819,0.059,0.035,1,"LEC","dffb"
0.00227760164745001,-0.881709456349857,0.101,0.139,1,"LEC","sqstm1"
0.002280132215299,-0.338727311707761,0.703,0.659,1,"LEC","plk2b"
0.0022815973824099,0.0717239301953699,0.337,0.26,1,"LEC","ISCU"
0.00228346554910681,0.713778877217187,0.053,0.031,1,"LEC","si:dkeyp-115e12.7"
0.00231861277368764,-0.929115390349529,0.066,0.102,1,"LEC","rfc4"
0.00232444507234033,1.35455176049642,0.012,0.004,1,"LEC","rhbdd2"
0.00232675685468567,-0.884932458401738,0.09,0.128,1,"LEC","agpat4"
0.00232732203308375,1.52387955533542,0.012,0.004,1,"LEC","dcdc2b"
0.0023288362164188,0.798944463868573,0.032,0.016,1,"LEC","si:ch211-243j20.2"
0.00233215801114343,0.416394091346139,0.047,0.026,1,"LEC","alkbh3"
0.0023330857398002,1.47436790945828,0.012,0.004,1,"LEC","rorca"
0.00233744288320572,0.186147468430891,0.104,0.069,1,"LEC","usp39"
0.00234259497726965,0.112951203322717,0.335,0.264,1,"LEC","cox6b1"
0.00235020854927982,0.753621603919576,0.032,0.016,1,"LEC","lrig1"
0.00235259292098558,0.30087170098602,0.067,0.041,1,"LEC","dusp7"
0.00235615445835622,0.0467268562878596,0.178,0.128,1,"LEC","mrgbp"
0.00235863767044167,-0.701707523891167,0.13,0.171,1,"LEC","fuca1.2"
0.0023615692910181,-3.27064068478198,0.003,0.02,1,"LEC","dub"
0.00236565937738594,0.368288584513927,0.114,0.079,1,"LEC","ubfd1"
0.00237150426469629,0.275072879578214,0.105,0.071,1,"LEC","zgc:162025"
