"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.40741346894685e-11,0.163430671038142,0.36,0.191,3.39355535632464e-07,"LEC","uggt2"
1.45630275497981e-11,1.5161459564283,0.076,0.018,3.51143720280731e-07,"LEC","mark1"
1.46252145996632e-11,0.192445761250989,0.343,0.182,3.52643174427079e-07,"LEC","pgrmc2"
1.46753953531925e-11,-1.07198378076304,0.366,0.47,3.53853132756178e-07,"LEC","aplnrb"
1.52317114740459e-11,0.359268517350099,0.455,0.264,3.67267027062196e-07,"LEC","ndufv2"
1.53455604971501e-11,0.466787222196096,0.196,0.085,3.70012154707284e-07,"LEC","dtd1"
1.54423377902667e-11,0.422852588856863,0.254,0.123,3.7234564879891e-07,"LEC","gpn2"
1.55683690142935e-11,0.355868961276841,0.14,0.051,3.75384513672644e-07,"LEC","grsf1"
1.57351122657351e-11,0.653112164467214,0.132,0.048,3.79405026951405e-07,"LEC","si:dkey-222b8.1"
1.58387220684029e-11,0.339404851120907,0.279,0.139,3.81903266513331e-07,"LEC","eif3eb"
1.59497463220016e-11,0.353029038794478,0.874,0.734,3.84580283316102e-07,"LEC","atp5mc3a"
1.5994934765568e-11,0.414592160611827,0.655,0.44,3.85669867067375e-07,"LEC","si:zfos-2326c3.2"
1.60938524777521e-11,2.20823653611988,0.052,0.009,3.88054970943559e-07,"LEC","mpz"
1.63066717099172e-11,0.356979204449806,0.624,0.4,3.93186468269523e-07,"LEC","spred2b"
1.63330790860913e-11,0.24767327895407,0.178,0.074,3.93823202923833e-07,"LEC","urb1"
1.63443037008584e-11,0.835909505302165,0.141,0.054,3.94093850835098e-07,"LEC","aanat2"
1.63912208250829e-11,0.306077153597959,0.349,0.186,3.95225116534398e-07,"LEC","vmp1"
1.64289816406075e-11,0.352962827273194,0.244,0.117,3.96135605318329e-07,"LEC","kctd6b"
1.68680971382089e-11,0.721334423130383,0.114,0.038,4.06723558196493e-07,"LEC","sco2"
1.68833270961306e-11,0.331675752471915,0.403,0.226,4.070907829419e-07,"LEC","AL935174.6"
1.69461362834063e-11,0.936358295019088,0.217,0.103,4.08605238065493e-07,"LEC","fhl1b"
1.70528565485142e-11,0.181759164109194,0.494,0.281,4.11178477097775e-07,"LEC","ube2ia"
1.70565618359229e-11,0.381258379706352,0.186,0.079,4.11267818987773e-07,"LEC","drosha"
1.72011669985674e-11,0.315346055962792,0.682,0.453,4.14754538669458e-07,"LEC","hspa4b"
1.75678932410692e-11,-1.29196653336461,0.362,0.445,4.23597041828661e-07,"LEC","efna1a"
1.76131008715567e-11,0.305154982987756,0.347,0.184,4.24687088214974e-07,"LEC","ENSDARG00000007359"
1.76462862736059e-11,2.58965560527968,0.033,0.002,4.25487254629185e-07,"LEC","CU459186.1"
1.78400877934803e-11,1.15369790042158,0.095,0.028,4.30160196876396e-07,"LEC","CABZ01079280.1"
1.78844325583145e-11,0.378241113253238,0.75,0.526,4.3122943784608e-07,"LEC","ak2"
1.79283180327946e-11,0.22400656860521,0.49,0.282,4.32287604406744e-07,"LEC","pcbp2"
1.81082179106323e-11,-0.61732012091542,0.736,0.734,4.36625350261166e-07,"LEC","sdc4"
1.8633965600306e-11,0.389934996477682,0.277,0.14,4.49302178554578e-07,"LEC","HACD4"
1.86366799525379e-11,0.439050604444058,0.234,0.111,4.49367627015593e-07,"LEC","smg5"
1.87131098479381e-11,3.330089095189,0.031,0.002,4.51210504653484e-07,"LEC","ctss2.1"
1.88735855610262e-11,2.17376269800844,0.043,0.005,4.55079895047464e-07,"LEC","hist1h2a11"
1.89439999833022e-11,-4.12368466982805,0.014,0.106,4.56777727597383e-07,"LEC","gata4"
1.89477961516508e-11,0.943781965234143,0.14,0.053,4.56869260808605e-07,"LEC","sall2"
1.90893582585795e-11,0.309408644997365,0.585,0.366,4.60282606330868e-07,"LEC","prelid3b"
1.90989518494939e-11,0.484201305653276,0.165,0.067,4.60513926994998e-07,"LEC","mettl2a"
1.91779453269188e-11,0.483935679724104,0.335,0.184,4.62418617722667e-07,"LEC","atp13a3"
1.96201045953625e-11,0.427260950426247,0.2,0.087,4.73079962003382e-07,"LEC","xpc"
1.96449354672016e-11,0.277814166539549,0.211,0.095,4.73678683985166e-07,"LEC","aifm1"
1.97414507538779e-11,0.700817389546978,0.122,0.042,4.76005860577503e-07,"LEC","cbll1"
1.97843913054612e-11,0.32602727366221,0.43,0.248,4.7704124315728e-07,"LEC","si:ch211-271b14.1"
2.02026602247876e-11,0.305841900003259,0.459,0.267,4.87126543340078e-07,"LEC","hsdl2"
2.0217121543077e-11,0.558185391062799,0.13,0.047,4.87475234646673e-07,"LEC","ecsit"
2.02429158357247e-11,0.578099802033541,0.831,0.731,4.88097186630994e-07,"LEC","tuba8l"
2.03818931416955e-11,0.63126170442254,0.205,0.094,4.91448207432562e-07,"LEC","ppil4"
2.04541149176716e-11,-3.219984787034,0.021,0.119,4.93189618894898e-07,"LEC","CU459094.2"
2.06207691616158e-11,0.309625350175425,0.496,0.292,4.97207986024881e-07,"LEC","ppp4cb"
2.08307901098315e-11,0.567594818013808,0.128,0.046,5.02272011128256e-07,"LEC","inavab"
2.11148600997221e-11,0.39958544068054,0.157,0.062,5.09121506724499e-07,"LEC","cox19"
2.13854449591372e-11,0.339112766369017,0.824,0.664,5.15645848854717e-07,"LEC","vcp"
