"cat","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes","GOTerm","cluster","direction"
"GO_Biological_Process_2018","positive regulation of transcription, DNA-templated (GO:0045893)","2 of 403",0.07761680163785437,0.10293000381171424,0.08681719355177817,0.11371829577908973,-0.8964549785189249,2.2913132499760347,"nfatc1;meox1","GO:0045893","LEC","downregulated"
"GO_Biological_Process_2018","axon guidance (GO:0007411)","1 of 141",0.15025091128599088,0.1746666843699644,0.16203242591787514,0.18836269512952997,-1.1428309219281625,2.166177317237328,"sema3d","GO:0007411","LEC","downregulated"
"GO_Biological_Process_2018","determination of heart left/right asymmetry (GO:0061371)","1 of 161",0.16972805620826112,0.19017721960684697,0.18281063349213406,0.20483601102130686,-1.0877074748945337,1.929112067659647,"tmsb4x","GO:0061371","LEC","downregulated"
"GO_Biological_Process_2018","embryonic cranial skeleton morphogenesis (GO:0048701)","1 of 156",0.164899197841431,0.18701982194211086,0.1776608374837268,0.201493388853495,-1.0522210552239877,1.8965452360276156,"tshz2","GO:0048701","LEC","downregulated"
"GO_Biological_Process_2018","axonogenesis (GO:0007409)","1 of 156",0.164899197841431,0.18701982194211086,0.1776608374837268,0.201493388853495,-1.021308115570054,1.8408271070838855,"sema3d","GO:0007409","LEC","downregulated"
"GO_Biological_Process_2018","ameboidal-type cell migration (GO:0001667)","1 of 171",0.1793057692392372,0.19851710165772687,0.19302164631575466,0.21370253699244274,-0.9994694789634572,1.7177509356999583,"sema3d","GO:0001667","LEC","downregulated"
"GO_Biological_Process_2018","plasma membrane bounded cell projection assembly (GO:0120031)","1 of 210",0.21565880562731773,0.23053182670506375,0.23173713921784916,0.24771901088804568,-1.1135161971011662,1.7081981226996663,"ablim1b","GO:0120031","LEC","downregulated"
"GO_Biological_Process_2018","organelle assembly (GO:0070925)","1 of 307",0.2995169178132274,0.306099707215716,0.32076356778223336,0.32781331652470014,-1.393744630797318,1.6802767512551071,"ablim1b","GO:0070925","LEC","downregulated"
"GO_Biological_Process_2018","gland development (GO:0048732)","1 of 188",0.1953458184024873,0.21373130719330963,0.2101123262826501,0.22988760405042877,-0.9836019401661452,1.6062060962801217,"sema3d","GO:0048732","LEC","downregulated"
"GO_Biological_Process_2018","cilium organization (GO:0044782)","1 of 208",0.21383263349165524,0.23053182670506375,0.22979391306211983,0.24771901088804568,-0.9871508498070992,1.5227410500316958,"ablim1b","GO:0044782","LEC","downregulated"
"GO_Biological_Process_2018","cilium assembly (GO:0060271)","1 of 216",0.2211130086982069,0.23367624782878688,0.23753988467560647,0.2510364690321749,-0.8948644142716753,1.350423204248251,"ablim1b","GO:0060271","LEC","downregulated"
