"rank","index","confect","effect","AveExpr","name","group"
297,18061,0.064,0.163499249325002,7.2121733824969,"sox18","hmVEC__mVEC"
298,5077,0.063,0.181472338701823,7.31750216423225,"si:ch73-364h19.1","hmVEC__mVEC"
299,5832,0.063,0.14542932911583,7.1157253384046,"ruvbl1","hmVEC__mVEC"
300,15031,-0.063,-0.237412479882519,8.94571990688587,"fam174b","hmVEC__mVEC"
301,23349,-0.063,-0.189826942782576,7.61045633295347,"eif3ja","hmVEC__mVEC"
302,21207,0.063,0.196089426337762,7.74537633890922,"denr","hmVEC__mVEC"
303,8892,0.063,0.142318003782028,7.13353215411046,"nifk","hmVEC__mVEC"
304,12667,0.063,0.144246271704919,7.1106541342018,"iah1","hmVEC__mVEC"
305,19931,0.063,0.211566335241645,8.03865927951375,"arpc4l","hmVEC__mVEC"
306,9421,0.063,0.159798318850848,7.15771248085363,"hdac9b","hmVEC__mVEC"
307,20711,0.063,0.196701029009143,7.641027713469,"slc12a2","hmVEC__mVEC"
308,4361,0.063,0.132770226040105,6.95496818481279,"hoxb9a","hmVEC__mVEC"
309,2013,-0.062,-0.181090342814177,7.30091428623298,"igdcc3","hmVEC__mVEC"
310,19330,0.062,0.144522013270778,7.01857027293676,"nrxn2a","hmVEC__mVEC"
311,14397,0.062,0.198952537421142,7.59706258352536,"med6","hmVEC__mVEC"
312,10158,0.062,0.158488644647486,7.31258551440609,"pcmt","hmVEC__mVEC"
