"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"samd11",0.000353771556890477,0.554154823255724,0.046,0.023,1,"LEC__preLEC"
"ap2a1",0.000353865290861612,0.0200988932829211,0.474,0.349,1,"LEC__preLEC"
"phrf1",0.000354407886904146,-0.0156763268503041,0.199,0.138,1,"LEC__preLEC"
"acadsb",0.000354495323589019,0.0265072752218272,0.142,0.094,1,"LEC__preLEC"
"si:ch211-261d7.3",0.000356465344713448,1.62123531088984,0.016,0.004,1,"LEC__preLEC"
"zfyve16",0.00035684896971796,0.477147035311,0.044,0.021,1,"LEC__preLEC"
"si:dkey-51a16.9",0.000356957611973656,0.236251316604609,0.074,0.042,1,"LEC__preLEC"
"yy1a",0.00035739901106752,0.0136206221968741,0.25,0.176,1,"LEC__preLEC"
"chordc1a",0.000357772534025214,0.329287994465325,0.067,0.037,1,"LEC__preLEC"
"papola",0.000358290310207401,0.09861795497505,0.267,0.192,1,"LEC__preLEC"
"spc24",0.000361655901900921,0.716769285460908,0.034,0.014,1,"LEC__preLEC"
"si:ch211-22i13.2",0.000362426624166386,-0.0660127187222015,0.256,0.18,1,"LEC__preLEC"
"ACBD3",0.000363111459961987,0.163789646382806,0.079,0.046,1,"LEC__preLEC"
"tmem167b",0.000363344454333085,0.419007387426505,0.069,0.039,1,"LEC__preLEC"
"drap1",0.00036348108891082,0.0420277547127157,0.424,0.312,1,"LEC__preLEC"
"xpnpep1",0.000364895847792388,0.0274180922300906,0.1,0.062,1,"LEC__preLEC"
"mynn",0.000367900734001375,0.167625859995198,0.135,0.089,1,"LEC__preLEC"
"aven",0.000367962789458808,0.237353293914352,0.087,0.052,1,"LEC__preLEC"
"ercc2",0.000368692905179777,0.540051159947902,0.045,0.022,1,"LEC__preLEC"
"FOXK2",0.000368955794269795,-0.117509339912908,0.207,0.143,1,"LEC__preLEC"
"ctnnbip1",0.000369436453165758,-0.00622252153986388,0.251,0.179,1,"LEC__preLEC"
"hexim1",0.000369612836110421,-0.0674843743672141,0.189,0.129,1,"LEC__preLEC"
"adamts9",0.000369836470655526,0.396685850893115,0.046,0.023,1,"LEC__preLEC"
"arhgef40",0.000370232347733362,0.448115707633532,0.103,0.066,1,"LEC__preLEC"
