"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"mmp28",0.829843287298214,-0.335346335218859,0.015,0.014,1,"mVEC"
"nphp4",0.829865277775365,0.199758918744428,0.05,0.048,1,"mVEC"
"kctd10",0.829924286296331,0.112286088940295,0.224,0.219,1,"mVEC"
"dhx32b",0.830389512207218,0.155723545594864,0.033,0.031,1,"mVEC"
"mars1",0.830455798601677,0.0385671743978975,0.118,0.122,1,"mVEC"
"rbm28",0.830456315419548,0.134066532133409,0.221,0.23,1,"mVEC"
"nup35",0.830528645920326,0.0679755968690423,0.077,0.073,1,"mVEC"
"CABZ01063556.1",0.830534660132359,-0.257677499717871,0.054,0.056,1,"mVEC"
"snx21",0.830842523589353,-0.281413174167354,0.041,0.039,1,"mVEC"
"prune",0.830870575690948,0.0353021098524979,0.035,0.037,1,"mVEC"
"tmem131l",0.83095869908011,-0.173091615141014,0.323,0.323,1,"mVEC"
"ctns",0.831084991717261,0.247213858111563,0.127,0.124,1,"mVEC"
"dtnbp1a",0.831139542034027,-0.0397960952680391,0.327,0.332,1,"mVEC"
"med7",0.831284839378834,-0.342444361682738,0.092,0.094,1,"mVEC"
"ahi1",0.831421744572778,0.0225693341196925,0.342,0.352,1,"mVEC"
"stat5a",0.831436454132928,0.105592055984384,0.052,0.054,1,"mVEC"
"pomt2",0.831444523186596,-0.102325291878564,0.06,0.063,1,"mVEC"
"fnta",0.83150767641841,0.011950168922005,0.195,0.201,1,"mVEC"
"bpgm",0.831515155982748,-0.010298077330174,0.082,0.078,1,"mVEC"
"scyl1",0.831541782006724,0.0730883542204044,0.102,0.099,1,"mVEC"
"skp2",0.831553362620429,0.165677169811826,0.024,0.022,1,"mVEC"
"si:ch211-195e19.1",0.831588846627882,-0.115220738468152,0.101,0.104,1,"mVEC"
"lrp8",0.831775105081626,0.487040294413487,0.041,0.039,1,"mVEC"
"abhd10a",0.831801900932389,0.578595440354483,0.029,0.027,1,"mVEC"
"dspb",0.8318271888072,-0.0133016143603837,0.152,0.158,1,"mVEC"
"gfm1",0.831851543954313,-0.208461285668199,0.064,0.066,1,"mVEC"
"man1b1b",0.832184261873965,0.29676542714313,0.094,0.092,1,"mVEC"
"rbmx2",0.832254558392712,0.0688679879679887,0.207,0.213,1,"mVEC"
"si:ch211-191c10.1",0.832368791937543,0.0713372910262242,0.024,0.022,1,"mVEC"
"nkain1",0.832370567689443,0.163741071703233,0.117,0.122,1,"mVEC"
"dot1l",0.832406426347513,0.239153715786094,0.144,0.141,1,"mVEC"
"si:ch211-262i1.5",0.832897738376595,-0.109463181469536,0.019,0.02,1,"mVEC"
"nrbp2b",0.832897738376595,0.0746634405347111,0.019,0.02,1,"mVEC"
"vps13d",0.832901390385066,0.316948285505476,0.058,0.061,1,"mVEC"
"ttbk2b",0.83294366506873,-0.0580394136791251,0.054,0.051,1,"mVEC"
"fbxl3b",0.833340934244205,-0.239193293363487,0.019,0.02,1,"mVEC"
"itsn2b",0.833390929465654,0.0103471778145432,0.286,0.294,1,"mVEC"
"ogfrl1",0.833408664950158,-0.404679794037084,0.095,0.097,1,"mVEC"
"adpgk2",0.833472700864542,0.122235139337615,0.057,0.06,1,"mVEC"
"sptlc2a",0.83347310136977,-0.0290686210387536,0.494,0.509,1,"mVEC"
"lnpk",0.833505722226196,-0.114401233685704,0.137,0.133,1,"mVEC"
"lin37",0.833542489796105,0.188003213114558,0.147,0.145,1,"mVEC"
"htra1b",0.833784183078392,0.0875612525215903,0.019,0.02,1,"mVEC"
