"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"efnb2a",0.0273198632207925,0.119277056761702,0.137,0.091,1,"hmVEC"
"usp5",0.0274048359439346,0.124593906623481,0.141,0.093,1,"hmVEC"
"tmed5",0.027425364787751,0.0592871203258013,0.181,0.125,1,"hmVEC"
"cry5",0.0274315900894487,0.7267892427257,0.024,0.008,1,"hmVEC"
"pggt1b",0.0275081812537203,-0.0381500105360144,0.123,0.079,1,"hmVEC"
"ophn1",0.0276610063589158,0.413088189060559,0.079,0.046,1,"hmVEC"
"nsrp1",0.027661007928346,0.150988948559651,0.079,0.046,1,"hmVEC"
"larp7",0.0276991178801735,0.130180106775108,0.107,0.067,1,"hmVEC"
"eps15",0.0277907010578735,0.0805571329413377,0.109,0.069,1,"hmVEC"
"pawr",0.0277988005699459,-0.0167074793321742,0.421,0.307,1,"hmVEC"
"rpz4",0.0278545115987631,0.169114512703283,0.121,0.079,1,"hmVEC"
"nelfb",0.0278849112732937,0.171736618546259,0.085,0.05,1,"hmVEC"
"gtf2h5",0.0278879290712319,0.0594162242595334,0.377,0.275,1,"hmVEC"
"ip6k1",0.0278912151117031,-2.67246745223671,0.004,0.018,1,"hmVEC"
"ndufa3",0.0279198573313422,-0.0609627499927517,0.224,0.154,1,"hmVEC"
"pisd",0.0279394114058539,0.525899610698969,0.024,0.008,1,"hmVEC"
"CABZ01064859.1",0.0279534046035109,-2.47722112425493,0.004,0.018,1,"hmVEC"
"C24H8orf44",0.0279717117777429,0.22259060462024,0.107,0.067,1,"hmVEC"
"ptrhd1",0.028003283650465,0.0755682514676417,0.091,0.055,1,"hmVEC"
"znf277",0.0280507417014304,0.467201295432168,0.071,0.041,1,"hmVEC"
"znf609a",0.0280636072999063,0.00335039067031773,0.188,0.129,1,"hmVEC"
"timm17a",0.0280765075376831,0.0961205379702939,0.149,0.1,1,"hmVEC"
"med7",0.0281060000881036,-0.222289751959357,0.109,0.067,1,"hmVEC"
"birc6",0.0281104129917887,-0.0384900609655614,0.123,0.079,1,"hmVEC"
"si:ch211-282b22.1",0.0281135320390995,0.122860560099594,0.081,0.048,1,"hmVEC"
"enosf1",0.0281350307699671,0.318130191753122,0.075,0.043,1,"hmVEC"
"msl2a",0.0281403460352516,0.386808732975721,0.079,0.046,1,"hmVEC"
"atp5mf",0.0281507343511745,0.0696393374308559,0.567,0.425,1,"hmVEC"
"si:ch73-248e21.1",0.0281823823389503,0.0875031790495877,0.097,0.059,1,"hmVEC"
"col9a3",0.0282033593932611,-2.40636797793261,0.004,0.018,1,"hmVEC"
"si:dkey-263j23.1.1",0.0282203054755712,0.369873299457286,0.073,0.042,1,"hmVEC"
"thrap3b",0.0282633292158754,0.0921508607896601,0.31,0.226,1,"hmVEC"
"bysl",0.0283035522747876,0.00683787691433335,0.133,0.087,1,"hmVEC"
"rbm7",0.0284042309468002,0.0908665968919294,0.204,0.142,1,"hmVEC"
"zgc:175214",0.0284420604257158,0.224494107588568,0.083,0.049,1,"hmVEC"
"mapk14a",0.0284934147432857,0.15747375272616,0.145,0.097,1,"hmVEC"
"tcea1",0.0285006548180588,-0.0269106897300629,0.208,0.143,1,"hmVEC"
"si:ch211-286o17.1",0.0285071609807948,0.22992267187277,0.488,0.379,1,"hmVEC"
"phactr4b",0.0285725824413487,0.0955933499191568,0.121,0.079,1,"hmVEC"
"tfcp2",0.0285850020914656,-0.128733083125483,0.093,0.056,1,"hmVEC"
"rcn3",0.0286231974521904,1.13851758824644,0.026,0.01,1,"hmVEC"
"cpsf6",0.0286768924838505,0.0465191281112766,0.361,0.261,1,"hmVEC"
"bhmt",0.0286908931612815,-0.951984608288313,0.133,0.167,1,"hmVEC"
"zgc:100918",0.0286944156005836,-0.108183599465157,0.321,0.226,1,"hmVEC"
"tmem9b",0.0287298510261638,0.105151343190034,0.175,0.121,1,"hmVEC"
"CABZ01058650.1",0.0287332445900064,-0.106683322726917,0.224,0.153,1,"hmVEC"
"si:dkeyp-69b9.6",0.0287583835995162,-0.259553920985316,0.117,0.073,1,"hmVEC"
"top1l",0.028789791435623,-0.0831707119794469,0.44,0.314,1,"hmVEC"
